"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC1","Piemonte","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",25.101074,,
"ITC1","Piemonte","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",23.817206,,
"ITC1","Piemonte","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",24.314688,,
"ITC1","Piemonte","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",25.06233,,
"ITC1","Piemonte","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",23.491588,,
"ITC1","Piemonte","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",15.98877,,
"ITC1","Piemonte","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",17.789597,,
"ITC1","Piemonte","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",16.297344,,
"ITC1","Piemonte","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",17.122818,,
"ITC1","Piemonte","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",21.007718,,
"ITC1","Piemonte","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",20.705267,,
"ITC1","Piemonte","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",20.905239,,
"ITC1","Piemonte","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",20.440931,,
"ITC1","Piemonte","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",21.22906,,
"ITC1","Piemonte","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",22.292849,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",25.518395,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",26.534686,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",22.16675,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",22.135762,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",27.837927,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",19.706198,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",18.036286,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",15.144018,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",18.159509,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",21.311475,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",22.712334,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",22.436173,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",18.760713,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",20.202622,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","EMP_R","tasso di occupazione","9","totale","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",24.676642,,
"ITC3","Liguria","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",18.521138,,
"ITC3","Liguria","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",19.939308,,
"ITC3","Liguria","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",16.142023,,
"ITC3","Liguria","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",18.287553,,
"ITC3","Liguria","EMP_R","tasso di occupazione","1","maschi","Y15-24","15-24 anni","99","totale","TOTAL","totale","2022","2022",26.026767,,
"ITC3","Liguria","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2018","2018",13.829114,,
"ITC3","Liguria","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2019","2019",12.761025,,
"ITC3","Liguria","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2020","2020",12.831887,,
"ITC3","Liguria","EMP_R","tasso di occupazione","2","femmine","Y15-24","15-24 anni","99","totale","TOTAL","totale","2021","2021",16.74076,,
