time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-08-30T09:23:47.068Z,63.6405,-145.3543,13.1,1.4,ml,,,,0.37,ak,ak022b4djx1u,2022-08-30T09:26:26.744Z,"26 km SSW of Deltana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-08-30T09:09:44.267Z,-54.6999,-136.1556,10,6.2,mww,154,27,28.226,0.84,us,us7000i3mp,2022-08-30T09:31:25.040Z,"Pacific-Antarctic Ridge",earthquake,11.27,1.766,0.065,23,reviewed,us,us
2022-08-30T08:59:45.530Z,33.2551667,-116.2636667,10.2,1.1,ml,43,37,0.06283,0.21,ci,ci40334336,2022-08-30T09:03:16.552Z,"10km E of Borrego Springs, CA",earthquake,0.29,0.62,0.154,25,automatic,ci,ci
2022-08-30T08:57:54.470Z,33.9941667,-118.3008333,1.55,1.06,ml,10,224,0.1274,0.25,ci,ci40334328,2022-08-30T09:01:27.561Z,"4km E of View Park-Windsor Hills, CA",earthquake,1.24,0.82,0.26,15,automatic,ci,ci
2022-08-30T08:54:04.786Z,61.2083,-151.9457,77.7,1.5,ml,,,,0.6,ak,ak022b4d51ea,2022-08-30T09:00:17.745Z,"46 km WNW of Tyonek, Alaska",earthquake,,0.7,,,automatic,ak,ak
2022-08-30T08:49:50.942Z,38.1991,-117.8798,15.8,1.3,ml,9,181.57,0.083,0.2298,nn,nn00846109,2022-08-30T08:53:10.003Z,"29 km SE of Mina, Nevada",earthquake,,1.1,0.44,2,automatic,nn,nn
2022-08-30T08:44:40.750Z,32.413166,-115.2245026,11.68,3.99,mw,37,69,0.06838,0.34,ci,ci40334320,2022-08-30T09:16:13.226Z,"7km NNW of Delta, B.C., MX",earthquake,0.49,1.04,,4,reviewed,ci,ci
2022-08-30T08:41:19.360Z,33.254,-116.265,10.54,1.09,ml,40,37,0.06184,0.22,ci,ci40334312,2022-08-30T08:44:52.460Z,"10km E of Borrego Springs, CA",earthquake,0.31,0.59,0.165,26,automatic,ci,ci
2022-08-30T08:33:43.850Z,40.3696671,-124.8714981,17.87,2.92,md,25,255,0.4212,0.15,nc,nc73773385,2022-08-30T08:40:13.798Z,"50km W of Petrolia, CA",earthquake,2.66,1.63,0.05,9,automatic,nc,nc
2022-08-30T08:29:06.132Z,63.2403,-150.4902,121.1,1.7,ml,,,,0.31,ak,ak022b4czol1,2022-08-30T08:31:28.473Z,"70 km ESE of Denali National Park, Alaska",earthquake,,1.3,,,automatic,ak,ak
